word|pos|firsttime|lasttime|counter|entries|examples|translation
wesentlich|ADJ|2021/04/17|2021/04/17|1|||
Eigenschaft|NOUN|2021/04/17|2021/04/17|1|||
für|ADP|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Erfolg|NOUN|2021/04/17|2021/04/17|1|der Erfolg, -e|1. Der Film war ein großer Erfolg. 2. Ich wünsche Ihnen viel Erfolg bei der Prüfung.|1. The film was a great success. 2. I wish you a lot of success in the exam. 
und|CCONJ|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Überleben|NOUN|2021/04/17|2021/04/17|1|||
ein|DET|2021/04/17|2021/04/17|1|||
Unternehmen|NOUN|2021/04/17|2021/04/17|4|||
sein|AUX|2021/04/17|2021/04/17|1|auseinander|Wir wohnen nicht weit auseinander.|We do not live far apart. 
fragen|VERB|2021/04/17|2021/04/17|3|fragen, fragt, fragte, hat gefragt|1. Darf ich Sie etwas fragen? 2. Hat jemand nach mir gefragt? 3. Ich frage mich, ob das richtig war.|1. May I ask you something? 2. Does anyone ask for me? 3. I wonder if that was right. 
sich|PRON|2021/04/17|2021/04/17|1|||
Top-Manager/-innen|NOUN|2021/04/17|2021/04/17|1|||
oft|ADV|2021/04/17|2021/04/17|1|oft/öfter|1. Ich treffe mich oft mit meiner Freundin. 2. In letzter Zeit muss ich öfter Überstunden machen.|1. I often meet with my girlfriend. 2. Lately, I have to do overtime more often. 
wie|SCONJ, ADP|2021/04/17|2021/04/17|5|||
ich|PRON|2021/04/17|2021/04/17|1|||
innovative|ADJ|2021/04/17|2021/04/17|1|||
Mitarbeitende|NOUN|2021/04/17|2021/04/17|1|||
finden|VERB|2021/04/17|2021/04/17|2|||
sowie|CCONJ|2021/04/17|2021/04/17|1|sowieso|Willst du mir den Brief mitgeben? Ich gehe sowieso zur Post.|Do you want to give me the letter? I go to the post anyway. 
selbst|ADV|2021/04/17|2021/04/17|2|||
innovativ|ADV, ADJ|2021/04/17|2021/04/17|2|||
werden|AUX|2021/04/17|2021/04/17|1|||
können|AUX|2021/04/17|2021/04/17|6|können, kann, konnte, hat gekonnt (hat können als Modalverb)|1. Ich kann den schweren Koffer nicht tragen. 2. Sie können mit dem Bus zum Bahnhof fahren. 3. Kann ich jetzt nach Hause gehen? 4. Können Sie mir helfen? 5. Ich kann sehr gut Englisch und Deutsch. 6. Es kann sein, dass es heute noch regnet.|1. I can not wear the heavy suitcase. 2. You can take the bus to the train station. 3. Can I go home now? 4. Can you help me? 5. I can be very good English and German. 6. It may be that it is still raining today. 
Universitätsprofessoren|NOUN|2021/04/17|2021/04/17|1|||
und|CCONJ|2021/04/17|2021/04/17|1|||
Forscher|NOUN|2021/04/17|2021/04/17|1|||
haben|AUX|2021/04/17|2021/04/17|1|||
deshalb|ADV|2021/04/17|2021/04/17|1|deshalb|Ich war krank. Deshalb war ich nicht im Büro.|I was sick. That's why I was not in the office. 
Jahr|NOUN|2021/04/17|2021/04/17|1|||
langen|ADV|2021/04/17|2021/04/17|1|verlangen, verlangt, verlangte, hat verlangt|1. Jeden Tag Überstunden? Das können Sie nicht verlangen. 2. Wie viel verlangen Sie für das Auto? 3. Frau Müller, Sie werden am Telefon verlangt.|1. Overted every day? You can not demand that. 2. How much do you ask for the car? 3. Mrs. Müller, you are required on the phone. 
innovative|ADJ|2021/04/17|2021/04/17|1|||
Unternehmer/-innen|NOUN|2021/04/17|2021/04/17|3|||
und|CCONJ|2021/04/17|2021/04/17|1|||
Manager/-innen|NOUN|2021/04/17|2021/04/17|1|||
beobachten|VERB|2021/04/17|2021/04/17|2|beobachten, beobachtet, beobachtete, hat beobachtet|Wer hat den Unfall beobachtet?|Who has observed the accident? 
und|CCONJ|2021/04/17|2021/04/17|1|||
interviewt|VERB|2021/04/17|2021/04/17|1|||
um|SCONJ, ADP|2021/04/17|2021/04/17|7|||
verstehen|VERB|2021/04/17|2021/04/17|1|(sich) verstehen, versteht, verstand, hat verstanden|1. Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter. 2. Den Satz verstehe ich nicht. 3. Ich verstehe nichts von Computern. 4. Unsere beiden Kinder verstehen sich sehr gut.|1. I can hardly understand them. Please speak louder. 2. I do not understand the sentence. 3. I do not understand anything about computers. 4. Our two children are very good. 
was|PRON|2021/04/17|2021/04/17|1|||
dies|PRON|2021/04/17|2021/04/17|1|||
voneinander|ADV|2021/04/17|2021/04/17|1|voneinander|Wir haben lange nichts voneinander gehört.|We have not heard from each other in a long time. 
unterscheiden|VERB|2021/04/17|2021/04/17|1|unterscheiden, unterscheidet, unterschied, hat unterschieden|Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.|You are very similar. In the photo you can not distinguish you both. 
und|CCONJ|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
ein|DET|2021/04/17|2021/04/17|1|||
zum|ADP|2021/04/17|2021/04/17|1|zumindest|Ich möchte nicht in der Stadt wohnen, zumindest jetzt nicht, wenn die Kinder noch so klein sind.|I do not want to live in the city, at least not now if the children are still so small. 
und|CCONJ|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
ander|PRON, ADJ|2021/04/17|2021/04/17|3|||
zur|ADP|2021/04/17|2021/04/17|1|||
Besitzerin|NOUN|2021/04/17|2021/04/17|1|||
ein|DET|2021/04/17|2021/04/17|1|||
Franchise-Geschäfts|NOUN|2021/04/17|2021/04/17|1|||
machen|VERB|2021/04/17|2021/04/17|1|kaputtmachen|Wer hat die Lampe kaputtgemacht?|Who broke the lamp? 
Diese|DET|2021/04/17|2021/04/17|1|||
Studie|NOUN|2021/04/17|2021/04/17|1|||
führen|VERB|2021/04/17|2021/04/17|3|||
zur|ADP|2021/04/17|2021/04/17|1|||
Entdeckung|NOUN|2021/04/17|2021/04/17|1|||
von|ADP|2021/04/17|2021/04/17|1|||
essenziell|ADJ|2021/04/17|2021/04/17|1|||
Fähigkeit|NOUN|2021/04/17|2021/04/17|1|die Fähigkeit, -en|1. In seiner Position braucht man die Fähigkeit, andere zu überzeugen. 2. Ich glaube, sie hat die Fähigkeit dazu.|1. In its position you need the ability to convince others. 2. I think she has the ability to do so. 
welch|PRON|2021/04/17|2021/04/17|1|welcher, welche, welches|1. Welcher Tag ist heute? 2. Welchen Kurs hast du gemacht?|1. Which day is today? 2. Which course did you do? 
derjenige|PRON|2021/04/17|2021/04/17|1|||
charakterisieren|VERB|2021/04/17|2021/04/17|1|||
der|PRON|2021/04/17|2021/04/17|1|||
einhellig|ADV|2021/04/17|2021/04/17|1|||
als|ADP|2021/04/17|2021/04/17|1|||
Innovatoren|NOUN|2021/04/17|2021/04/17|5|||
bzw.|CCONJ|2021/04/17|2021/04/17|1|||
Innovatorinnen|NOUN|2021/04/17|2021/04/17|5|||
ansehen|VERB|2021/04/17|2021/04/17|1|ansehen, sieht an, sah an, hat angesehen|1. Warum siehst du mich so erschrocken an? 2. Darf ich eure Urlaubsfotos ansehen?|1. Why do you see me so scared? 2. May I watch your vacation photos? 
werden|AUX|2021/04/17|2021/04/17|1|||
und|CCONJ|2021/04/17|2021/04/17|1|||
nach|ADP|2021/04/17|2021/04/17|3|||
Ansicht|NOUN|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Wissenschaftler|NOUN|2021/04/17|2021/04/17|2|der Wissenschaftler, - die Wissenschaftlerin, -nen|Sie ist Wissenschaftlerin an der Universität.|She is a scientist at the university. 
der|PRON|2021/04/17|2021/04/17|1|||
besitzen|VERB|2021/04/17|2021/04/17|1|besichtigen, besichtigt, besichtigte, hat besichtigt besitzen, besitzt, besaß, hat besessen|Im Urlaub haben wir Schloss Schönbrunn besichtigt. Besitzt Ihre Frau ein eigenes Auto?|On vacation we visited Schönbrunn Castle. Brunn visits. Does your wife own your own car? 
was|PRON|2021/04/17|2021/04/17|1|||
ich|PRON|2021/04/17|2021/04/17|1|||
als|ADP|2021/04/17|2021/04/17|1|||
DNA|NOUN|2021/04/17|2021/04/17|2|||
der|DET|2021/04/17|2021/04/17|1|||
Innovators|NOUN|2021/04/17|2021/04/17|1|||
bezeichnen|VERB|2021/04/17|2021/04/17|1|||
1.|ADV|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Fähigkeit|NOUN|2021/04/17|2021/04/17|1|die Fähigkeit, -en|1. In seiner Position braucht man die Fähigkeit, andere zu überzeugen. 2. Ich glaube, sie hat die Fähigkeit dazu.|1. In its position you need the ability to convince others. 2. I think she has the ability to do so. 
Assoziation|NOUN|2021/04/17|2021/04/17|1|||
bilden|VERB|2021/04/17|2021/04/17|1|||
bzw.|CCONJ|2021/04/17|2021/04/17|1|||
Element|NOUN|2021/04/17|2021/04/17|1|||
Problem|NOUN|2021/04/17|2021/04/17|1|das Problem, -e|José spricht nicht gern über seine Probleme.|José does not like his problems. 
Idee|NOUN|2021/04/17|2021/04/17|1|die Idee, -n|Du willst ein Picknick machen? Ich finde die Idee toll.|You want to make a picnic? I think the idea is great. 
Frage|NOUN|2021/04/17|2021/04/17|1|die Frage, -n|1. Ich habe Ihre Frage leider nicht verstanden. 2. Das kommt gar nicht infrage!|1. Unfortunately I did not understand your question. 2. That does not matter at all! 
verknüpfen|VERB|2021/04/17|2021/04/17|1|||
der|PRON|2021/04/17|2021/04/17|1|||
auf|ADP|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
erst|ADJ|2021/04/17|2021/04/17|1|||
Blick|NOUN|2021/04/17|2021/04/17|1|der Blick, -e|Von hier hat man einen tollen Blick über die Stadt.|From here you have a great view over the city. 
kein|DET|2021/04/17|2021/04/17|1|kein-|1. Ich habe leider heute keine Zeit. 2. Jetzt habe ich noch keinen Hunger. 3. Ich habe keine Kinder. 4. Was für ein Auto haben Sie? – Ich habe keins.|1. Unfortunately, I have no time today. 2. Now I have no hunger. 3. I have no children. 4. What a car do you have? - I have none. 
direkt|ADJ|2021/04/17|2021/04/17|1|direkt|1. Wir liefern Ihnen die Waren direkt ins Haus. 2. Das Dorf liegt direkt an der Autobahn. 3. Gibt es keinen direkten Zug nach Hamburg? 4. Sie übertragen das Fußballspiel direkt.|1. We deliver the goods directly into the house. 2. The village is located directly on the highway. 3. Is there no direct train to Hamburg? 4. You transfer the football game directly. 
Bezug|NOUN|2021/04/17|2021/04/17|1|||
zueinander|ADV|2021/04/17|2021/04/17|1|||
haben|VERB|2021/04/17|2021/04/17|1|||
Dieses|DET|2021/04/17|2021/04/17|1|||
Phänomen|NOUN|2021/04/17|2021/04/17|1|||
werden|AUX|2021/04/17|2021/04/17|1|||
von|ADP|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Unternehmer|NOUN|2021/04/17|2021/04/17|1|der Unternehmer, - die Unternehmerin, -nen|Sie ist erfolgreiche Unternehmerin.|She is successful entrepreneur. 
als|ADP|2021/04/17|2021/04/17|1|||
Medici-Effekt|NOUN|2021/04/17|2021/04/17|1|||
beschreiben|VERB|2021/04/17|2021/04/17|1|beschreiben, beschreibt, beschrieb, hat beschrieben|Kannst du mir den Weg zum Flughafen beschreiben?|Can you describe my way to the airport? 
welch|PRON|2021/04/17|2021/04/17|1|welcher, welche, welches|1. Welcher Tag ist heute? 2. Welchen Kurs hast du gemacht?|1. Which day is today? 2. Which course did you do? 
sich|PRON|2021/04/17|2021/04/17|1|||
auf|ADP|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
kreative|ADJ|2021/04/17|2021/04/17|1|||
Explosion|NOUN|2021/04/17|2021/04/17|1|||
in|ADP|2021/04/17|2021/04/17|1|||
beziehen|VERB|2021/04/17|2021/04/17|1|||
als|SCONJ|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Medici-Familie|NOUN|2021/04/17|2021/04/17|1|||
Mensch|NOUN|2021/04/17|2021/04/17|1|der Mensch, -en|Die Menschen sind hier ein bisschen anders als im Süden.|People are a bit different here than in the south. 
aus|ADP|2021/04/17|2021/04/17|3|||
verschieden|ADJ|2021/04/17|2021/04/17|1|verschieden|1. Unsere beiden Kinder sind sehr verschieden. 2. Wir haben dieses Kleid in verschiedenen Farben.|1. Our two children are very different. 2. We have this dress in different colors. NEN colors. 
Disziplin|NOUN|2021/04/17|2021/04/17|1|||
Dichtung|NOUN|2021/04/17|2021/04/17|1|||
Bildhauerei|NOUN|2021/04/17|2021/04/17|1|||
Architektur|NOUN|2021/04/17|2021/04/17|1|||
Philosophie|NOUN|2021/04/17|2021/04/17|1|||
Malerei|NOUN|2021/04/17|2021/04/17|1|||
zusammenbringen|VERB|2021/04/17|2021/04/17|1|||
und|CCONJ|2021/04/17|2021/04/17|1|||
durch|ADP|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Interaktion|NOUN|2021/04/17|2021/04/17|1|||
zwischen|ADP|2021/04/17|2021/04/17|1|||
verschieden|ADJ|2021/04/17|2021/04/17|1|verschieden|1. Unsere beiden Kinder sind sehr verschieden. 2. Wir haben dieses Kleid in verschiedenen Farben.|1. Our two children are very different. 2. We have this dress in different colors. NEN colors. 
und|CCONJ|2021/04/17|2021/04/17|1|||
Tätigkeitsbereichen|NOUN|2021/04/17|2021/04/17|1|||
einen|DET|2021/04/17|2021/04/17|1|||
Periode|NOUN|2021/04/17|2021/04/17|1|||
außergewöhnlich|ADJ|2021/04/17|2021/04/17|1|||
Kreativität|NOUN|2021/04/17|2021/04/17|1|||
herbeiführen|VERB|2021/04/17|2021/04/17|1|||
der|PRON|2021/04/17|2021/04/17|1|||
man|PRON|2021/04/17|2021/04/17|1|||
heute|ADV|2021/04/17|2021/04/17|1|herzlich heute|Herzlichen Glückwunsch! 1. Heute kann ich etwas früher nach Hause gehen. 2. Ab heute bleibt unser Büro nachmittags geschlossen. 3. Frau Müller kommt heute in acht Tagen zurück. 4. Heute kann man sich eine Welt ohne Internet nicht mehr vorstellen.|Congratulations! 1. Today I can go home a little earlier. 2. From today our office remains closed in the afternoon. 3. Mrs. Müller is coming back today in eight days. 4. Today you can not imagine a world without internet. 
als|ADP|2021/04/17|2021/04/17|1|||
Renaissance|NOUN|2021/04/17|2021/04/17|1|||
kennen|VERB|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Gehirn|NOUN|2021/04/17|2021/04/17|1|||
assoziieren|VERB|2021/04/17|2021/04/17|1|||
Idee|NOUN|2021/04/17|2021/04/17|1|die Idee, -n|Du willst ein Picknick machen? Ich finde die Idee toll.|You want to make a picnic? I think the idea is great. 
basieren|ADV|2021/04/17|2021/04/17|1|||
auf|ADP|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Erfahrung|NOUN|2021/04/17|2021/04/17|1|die Erfahrung, -en|1. Ich habe zehn Jahre Erfahrung in diesem Beruf. 2. Mit diesem Gerät haben wir gute Erfahrungen gemacht.|1. I have ten years of experience in this profession. 2. With this device we have made good experiences. 
der|PRON|2021/04/17|2021/04/17|1|||
machen|VERB|2021/04/17|2021/04/17|1|kaputtmachen|Wer hat die Lampe kaputtgemacht?|Who broke the lamp? 
werden|AUX|2021/04/17|2021/04/17|1|||
Je|ADV|2021/04/17|2021/04/17|1|die Jeans (Pl.)|Nicht nur junge Leute tragen Jeans.|Not only young people wear jeans. 
vielfältig|ADV|2021/04/17|2021/04/17|1|||
dies|DET|2021/04/17|2021/04/17|1|||
Erfahrung|NOUN|2021/04/17|2021/04/17|1|die Erfahrung, -en|1. Ich habe zehn Jahre Erfahrung in diesem Beruf. 2. Mit diesem Gerät haben wir gute Erfahrungen gemacht.|1. I have ten years of experience in this profession. 2. With this device we have made good experiences. 
sein|AUX|2021/04/17|2021/04/17|1|auseinander|Wir wohnen nicht weit auseinander.|We do not live far apart. 
desto|ADV|2021/04/17|2021/04/17|2|je … desto …|Je länger ich Deutsch lerne, desto besser kann ich es verstehen.|The longer I learn German, the better I can understand it. 
mehr|ADV, DET|2021/04/17|2021/04/17|2|||
sein|AUX|2021/04/17|2021/04/17|1|auseinander|Wir wohnen nicht weit auseinander.|We do not live far apart. 
der|DET|2021/04/17|2021/04/17|1|||
Gehirn|NOUN|2021/04/17|2021/04/17|1|||
in|ADP|2021/04/17|2021/04/17|1|||
der|DET|2021/04/17|2021/04/17|1|||
Lage|NOUN|2021/04/17|2021/04/17|1|die Lage|Wir suchen eine Wohnung an/in zentraler Lage.|We are looking for an apartment on / in a central location. 
offensichtlich|ADJ|2021/04/17|2021/04/17|1|||
Assoziation|NOUN|2021/04/17|2021/04/17|1|||
erzeugen|VERB|2021/04/17|2021/04/17|1|(sich) überzeugen, überzeugt, überzeugte, hat überzeugt die Überzeugung, -en|1. Ihr Vorschlag überzeugt mich gar nicht. 2. Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist. Wie bist du zu dieser Überzeugung gekommen?|1. Your suggestion does not convince me. 2. I am firmly convinced that my decision is right. How did you come to this conviction? 
2.|ADV|2021/04/17|2021/04/17|1|||
stellen|VERB|2021/04/17|2021/04/17|1|||
Wie|SCONJ|2021/04/17|2021/04/17|1|||
jemand|PRON|2021/04/17|2021/04/17|1|jemand|1. Hat jemand einen Bleistift für mich? 2. Kennst du jemand, der mir ein Fahrrad leihen kann?|1. Does anyone have a pencil for me? 2. Do you know someone who can borrow me a bike? 
einmal|ADV|2021/04/17|2021/04/17|1|einmal|1. Ich habe diese Oper leider nur einmal gesehen. 2. Bitte rufen Sie morgen noch einmal an. 3. Auf einmal ging das Licht aus. 4. Ich kann nicht alles auf einmal machen. 5. Sehen wir uns (ein)mal wieder? 6. Vor Jahren habe ich (ein)mal in Wien gewohnt. 7. Komm doch bitte (ein)mal her und hilf mir.|1. Unfortunately, I have only seen this opera once. 2. Please call again tomorrow. 3. At once the light went out. 4. I can not do everything at once. 5. See (once) again? 6. years ago I have (once) time in Vienna. 7. Please come (once) and help me. 
sagen|VERB|2021/04/17|2021/04/17|1|Bescheid sagen|Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.|I inquire about the appointments and then tell them. 
wichtig|NOUN|2021/04/17|2021/04/17|1|wichtig|1. Die Prüfung ist sehr wichtig für mich. 2. Morgen habe ich einen wichtigen Termin.|1. The exam is very important for me. 2. Tomorrow I have an important date. 
richtig|ADJ|2021/04/17|2021/04/17|1|richtig|1. Was Sie da sagen, ist richtig. 2. Geht Ihre Uhr richtig? 3. Das ist nicht die richtige Größe.|1. What you say is right. 2. Does your watch right? 3. That's not the right size. 
Antwort|NOUN|2021/04/17|2021/04/17|1|die Antwort, -en|Leider habe ich keine Antwort bekommen.|Unfortunately, I did not get an answer. 
sondern|CCONJ|2021/04/17|2021/04/17|1|sondern|Unser Besuch kommt nicht heute, sondern morgen.|Our visit does not come today, but tomorrow. 
richtig|ADJ|2021/04/17|2021/04/17|1|richtig|1. Was Sie da sagen, ist richtig. 2. Geht Ihre Uhr richtig? 3. Das ist nicht die richtige Größe.|1. What you say is right. 2. Does your watch right? 3. That's not the right size. 
stellen|VERB|2021/04/17|2021/04/17|1|||
während|SCONJ|2021/04/17|2021/04/17|1|während|1. Während ich arbeite, höre ich oft Musik. 2. Während der Prüfung dürfen wir unsere Handys nicht benutzen.|1. While I work, I often hear music. 2. During the exam, we must not use our cell phones. 
bestehend|ADJ|2021/04/17|2021/04/17|1|||
Prozeß|NOUN|2021/04/17|2021/04/17|1|||
verbessern|VERB|2021/04/17|2021/04/17|1|(sich) verbessern, verbessert, verbesserte, hat verbessert|1. Ich habe mein Deutsch verbessert. 2. Meine Kinder haben sich in der Schule verbessert.|1. I improved my German. 2. My children have improved at school. 
nachdenken|VERB|2021/04/17|2021/04/17|1|nachdenken, denkt nach, dachte nach, hat nachgedacht|Ich weiß nicht, was ich machen soll. Ich muss nachdenken.|I do not know what to do. I have to think. 
darüber|ADV|2021/04/17|2021/04/17|1|||
Status|NOUN|2021/04/17|2021/04/17|1|||
traditionell|ADJ|2021/04/17|2021/04/17|1|traditionell|Ich mag die traditionelle Küche.|I like the traditional cuisine. 
Denkweise|NOUN|2021/04/17|2021/04/17|1|||
stellen|VERB|2021/04/17|2021/04/17|1|||
Wenn|SCONJ|2021/04/17|2021/04/17|1|||
XY|AUX|2021/04/17|2021/04/17|1|||
tun|VERB|2021/04/17|2021/04/17|1|||
dann|ADV|2021/04/17|2021/04/17|1|dann|1. Ich muss noch schnell zur Post, dann komme ich. 2. Wir waren pünktlich am Bahnhof. Aber dann hatte der Zug Verspätung. 3. Ich habe im Moment sehr viel zu tun. – Dann will ich nicht länger stören. 4. Wenn es nicht regnet, dann kommen wir.|1. I have to go to the post quickly, then I come. 2. We were on time at the train station. But then the train had delay. 3. I have a lot to do at the moment. - Then I no longer want to disturb. 4. If it does not rain, then we come. 
passieren|VERB|2021/04/17|2021/04/17|1|passieren, passiert, passierte, ist passiert|1. Entschuldigung! – Kein Problem. Es ist nichts passiert. 2. Wie ist der Unfall passiert? 3. Man hat mir die Brieftasche gestohlen. – Das ist mir auch schon passiert.|1. Sorry! - No problem. Nothing happened. 2. How did the accident happen? 3. I stole the wallet. - That also happened to me before. 
3.|ADV|2021/04/17|2021/04/17|1|||
herumbeobachten|VERB|2021/04/17|2021/04/17|1|||
sorgfältig|ADV|2021/04/17|2021/04/17|1|||
Welt|NOUN|2021/04/17|2021/04/17|1|die Welt|1. Überall auf der Welt gibt es Probleme. 2. Ich habe die besten Eltern der Welt.|1. There are problems anywhere in the world. 2. I have the best parents in the world. 
herum|ADV|2021/04/17|2021/04/17|1|||
egal|ADV|2021/04/17|2021/04/17|1|||
ob|SCONJ|2021/04/17|2021/04/17|1|||
potenzielle|ADJ|2021/04/17|2021/04/17|1|||
Kunde|NOUN|2021/04/17|2021/04/17|1|der Kunde, -n die Kundin, -nen|1. Sie ist schon lange bei mir Kundin. Ich habe ihr einen Sonderpreis gegeben. 2. Einen Augenblick, bitte. Ich habe einen Kunden.|1. She has been with me for a long time. I have given her a special prize. 2. For a moment, please. I have a customer. 
Lieferant|NOUN|2021/04/17|2021/04/17|1|||
konkurrierend|ADJ|2021/04/17|2021/04/17|1|||
oder|CCONJ|2021/04/17|2021/04/17|1|||
normale|ADJ|2021/04/17|2021/04/17|1|normalerweise|Wann haben Sie normalerweise Pause?|When do you usually have break? 
handeln|VERB|2021/04/17|2021/04/17|1|||
arbeiten|VERB|2021/04/17|2021/04/17|1|arbeiten, arbeitet, arbeitete, hat gearbeitet|1. Er arbeitet heute bis 16 Uhr. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.|1. He works today until 4 pm. 2. Arzu works as a nurse in the hospital. 
mein|DET|2021/04/17|2021/04/17|1|||
täglich|ADJ|2021/04/17|2021/04/17|1|alltäglich|1. Das alltägliche Leben ist manchmal langweilig. 2. Der Roman erzählt eine ganz alltägliche Geschichte.|1. The everyday life is sometimes boring. 2. The novel tells a whole everyday story. 
Aktivität|NOUN|2021/04/17|2021/04/17|1|die Aktivität, -en|In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.|During the holidays, the city offers various leisure activities for children. ITÄTEN. 
nachgehen|VERB|2021/04/17|2021/04/17|1|||
Dadurch|ADV|2021/04/17|2021/04/17|1|||
erhalten|VERB|2021/04/17|2021/04/17|1|das Verhalten|Ich bewundere dein Verhalten in der schwierigen Situation.|I admire your behavior in the difficult situation. 
Einblick|NOUN|2021/04/17|2021/04/17|1|||
folglich|ADV|2021/04/17|2021/04/17|1|||
bestimmen|ADJ|2021/04/17|2021/04/17|1|||
Ding|NOUN|2021/04/17|2021/04/17|1|das Ding, -e|Gib mir bitte mal das Ding da drüben.|Please give me the thing over there. 
neue|ADJ|2021/04/17|2021/04/17|1|||
Art|NOUN|2021/04/17|2021/04/17|1|||
Weise|NOUN|2021/04/17|2021/04/17|1|||
erledigen|VERB|2021/04/17|2021/04/17|1|erledigen, erledigt, erledigte, hat erledigt|Diese zwei Pakete müssen zur Post. Könntest du das für mich erledigen?|These two packages need to be posted. Could you do that for me? 
4.|ADV|2021/04/17|2021/04/17|1|||
experimentieren|VERB|2021/04/17|2021/04/17|1|||
Genau|ADV|2021/04/17|2021/04/17|1|||
Wissenschaftlerinnen|NOUN|2021/04/17|2021/04/17|1|||
